player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,cluster,Tier
David Robinson,20.4929,10.4357,2.3714,1.3714,2.8286,2.35,0.5758,0.513,0.723,33.8429,987,14,1989-90,2002-03,2000s,0.535,1.0763,93,22.04,0.213,4.047,4.263,7.777,2.604,14.359,21.816,,,3.0,0.2815240602818939,33,3,3
Bernard King,21.4071,5.5071,3.1357,0.8857,0.2429,3.0286,0.5601,0.5178,0.7189,32.3929,874,14,1977-78,1992-93,1980-90s,0.535,1.0469,95,22.53,,,,,,,,,,,0.25214533214139523,34,3,3
Bob Pettit,26.1818,16.1091,2.9636,1.1663999999999999,0.6007,2.6348,0.5091,0.4338,0.7635,38.5727,792,11,1954-55,1964-65,1950-60s,0.48,1.0606,120,21.82,,,,,,,,,,,0.2393108083665571,35,4,5
Reggie Miller,18.1167,3.0,2.9444,1.0667,0.2111,1.7167,0.6107,0.4682,0.8876,34.25,1389,18,1987-88,2004-05,2000s,0.535,1.1415,93,19.48,2.356,-1.804,0.552,3.724,6.301,20.636,22.918,,,5.0,0.2346710300394942,36,3,3
Ja Morant,22.6143,4.6429,7.5714,1.0143,0.3286,3.3714,0.5542,0.46,0.7924,31.8286,327,7,2019-20,2025-26,2010s+,0.565,0.9809,99,22.84,2.127,-1.018,1.11,1.344,-2.282,39.925,33.483,-0.535,1.747,6.0,0.22656148785738617,37,0,4
Ray Allen,19.285,4.155,3.51,1.155,0.18,2.15,0.5804,0.4512,0.8975,35.965,1376,20,1996-97,2013-14,2000s,0.535,1.0849,93,20.74,3.494,-1.538,1.955,4.498,5.235,26.608,27.899,4.664,0.428,14.0,0.2009596552704206,38,3,3
Dirk Nowitzki,20.1095,7.3476,2.3381,0.7857,0.819,1.6048,0.5679,0.463,0.8707,33.0048,1522,21,1998-99,2018-19,2000s,0.535,1.0615,93,21.62,3.575,0.771,4.346,8.764,3.093,26.39,31.737,0.356,0.727,19.0,0.17827418437667936,39,3,3
Clyde Drexler,20.5353,6.2,5.5529,1.9882,0.6588,2.6941,0.5475,0.4661,0.7886,34.8706,1162,17,1983-84,1997-98,1980-90s,0.535,1.0234,95,21.62,,,,,,,,,,,0.167646588547072,40,2,1
Yao Ming,18.5625,8.9125,1.55,0.3625,1.85,2.6125,0.5937,0.5185,0.8465,31.175,486,8,2002-03,2010-11,2000s,0.535,1.1097,93,19.96,-0.076,2.801,2.727,3.642,5.86,23.666,31.665,,,7.0,0.13813147387211622,41,3,3
Kawhi Leonard,20.5571,6.25,3.0857,1.7429,0.6429,1.7143,0.601,0.4974,0.8473,31.3143,791,14,2011-12,2025-26,2010s+,0.565,1.0637,99,20.76,3.632,1.558,5.187,7.779,4.572,28.63,32.289,5.775,1.265,13.0,0.1195558274019105,42,3,3
