player,PPG,PPG_z,TS_pct,TS_plus,TS_plus_z,APG,APG_z,RPG,RPG_z,SPG,BPG,TOV,MPG,GP,seasons,first_year,last_year,peak_PPG,peak_PPG_z,peak_TS_z,peak_APG_z,peak_seasons,longevity,longevity_norm,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,db_seasons,peak_score,career_score,total_score,rank,L2_dpm_z,L2_onoff_z,L2_score,L2_rank
Paul George,19.5562,-0.1415,0.5617,0.9677,-0.4135,3.6438,-0.5479,6.0062,-0.0851,1.625,0.4312,2.6,32.0688,937,16,2010,2025,23.68,0.6842,0.0509,-0.2551,5,2.5198577859584717,0.6223860999407936,1.952,1.663,3.615,7.244,0.691,29.339,15.0,-0.1845432526466877,-0.4329780650800562,-0.09768782585920198,67,0.3569228648581742,0.633594657723596,0.30291003519632387,18
Kobe Bryant,24.2,0.9127,0.5429,0.9738,-0.2802,4.76,0.1679,5.2,-0.3613,1.41,0.46,3.13,35.775,1346,20,1996,2015,30.64,1.7218,-0.1082,0.1828,5,2.8573108956352766,0.8524604738356342,4.56,-1.618,2.942,4.978,0.856,38.565,15.0,0.46530142028057,0.5272301949359954,0.5613118633882104,22,-0.025529720656912423,-0.030895720774128752,0.29624446049939834,19
Karl Malone,24.6895,0.7653,0.5738,1.0284,0.4198,3.5842,-0.2274,10.0895,0.8375,1.4105,0.7632,3.0579,37.0526,1476,19,1985,2003,28.5,1.4513,0.9695,-0.3077,5,2.9444389791664403,0.9118641026428743,1.912,0.278,2.19,3.752,2.428,28.895,4.0,1.049043977217169,0.9375262867221168,0.9881526951537943,12,-0.45287644325326487,-0.3904125804555985,0.2831405646266264,20
Paul Pierce,18.9316,0.0353,0.5654,1.0101,0.2055,3.3579,-0.3985,5.4368,-0.3017,1.2579,0.5316,2.5368,33.1895,1343,19,1998,2016,25.42,0.8244,0.0956,-0.1957,5,2.855207845438498,0.8510266214175702,2.714,0.618,3.331,6.204,3.254,28.231,16.0,-0.048622372023283386,0.18017063661052435,0.19994532925502967,43,0.19553128345210483,0.328621138907341,0.2800022254936287,21
Dwyane Wade,20.6944,0.3541,0.5435,0.9597,-0.4126,5.1556,0.2957,4.5278,-0.5599,1.4722,0.8167,3.05,32.6556,1121,18,2003,2018,26.86,1.3245,0.0727,0.7307,5,2.6858544687104255,0.7355620694535777,3.249,0.039,3.289,4.453,0.819,34.169,16.0,0.3036789468245372,-0.028369816362742717,0.29044094239416135,38,0.17166351437092567,-0.18484869902271883,0.25274541244481064,22
Manu Ginobili,13.15,-0.9076,0.5805,1.0287,0.4927,3.7812,-0.2673,3.4812,-0.9412,1.3,0.3062,1.9875,25.1375,1057,16,2002,2017,15.72,-0.3019,0.983,0.1283,5,2.631186716182929,0.69828978309934,2.399,1.322,3.723,6.05,3.917,21.666,16.0,-0.23455627740467688,-0.3706880455732095,-0.0888265957544333,65,0.41829712820977777,0.28346159862108794,0.25147253158561583,23
Michael Jordan,29.4533,1.4135,0.5592,0.9904,-0.0774,5.14,0.2357,6.12,-0.3113,2.2933,0.8333,2.6867,37.5733,1072,15,1984,2002,34.16,1.9976,0.4372,0.5798,5,2.644270199803792,0.7072100574014983,3.09,-0.705,2.385,2.975,-4.269,31.276,2.0,1.0651830091835912,1.0890679529377314,1.0007539019534146,10,-0.342061801090647,-0.618262988263512,0.23472577625548052,24
Luka Doncic,29.06,0.9708,0.5889,0.9929,-0.0552,8.11,1.0932,8.45,0.6997,1.41,0.43,3.88,35.14,562,10,2018,2025,31.4,1.2073,0.1468,1.3022,5,2.0609794788401006,0.30952444249363337,4.451,-0.674,3.779,3.959,1.827,49.188,8.0,0.27107330901939597,0.7450787279409685,0.42096516139071516,27,0.4501208203180168,-0.32971112046044,0.2123209032078625,25
Jimmy Butler,18.3368,-0.3471,0.5921,1.0184,0.3264,4.4737,-0.2531,5.3158,-0.3591,1.6211,0.4368,1.5579,32.6421,1027,19,2011,2025,21.66,0.4209,0.3376,0.0992,5,2.604494740086114,0.6800912852565659,2.062,1.097,3.159,6.507,3.001,30.749,14.0,-0.17040968216265404,-0.039881861591420625,0.03884885749255998,58,0.0977870862625135,0.4174740006393845,0.19772627840914792,26
Anthony Davis,23.5938,0.3638,0.5832,0.9998,0.0119,2.7875,-1.0399,10.6562,1.6185,1.2625,2.2125,2.0438,33.8125,858,16,2012,2025,26.14,1.0303,0.4731,-0.7007,5,2.4391606279997964,0.5673670541533148,1.521,1.608,3.129,3.858,2.411,29.98,14.0,0.3776565478687658,0.3012042796209649,0.3926629686513353,29,0.08073867977595701,-0.35932874103778784,0.17912623091652224,27
