player,PPG,TS_pct,APG,RPG,TOV,FTR,MPG,GP,FGA,seasons,peak_PPG,PtsCreated,PtsCreated100,o_dpm,dpm,onoff,predicted_PtsC,rank
Gary Payton,16.7526,0.5199,6.8684,3.9526,2.2632,0.2352,35.7684,1415,14.4368,19,22.58,28.646,42.185,1.194,0.467,-1.577,31.96330274523879,34
Dave Bing,20.3,0.5011,6.0083,3.7917,2.7,0.3569,36.375,901,17.4833,12,24.6,,,,,,31.759559168971133,35
Jayson Tatum,23.3222,0.5731,3.8556,7.6111,2.3667,0.2924,34.1778,595,17.9444,9,27.42,33.547,47.16,3.28,3.842,6.023,31.643061576801244,36
Pete Maravich,22.225,0.5004,4.7833,3.6583,3.0,0.2846,34.375,701,19.7583,12,27.56,,,,,,31.22713957267106,37
Jason Kidd,12.2348,0.5081,8.8261,6.1652,2.8652,0.244,35.9739,1526,10.8783,23,16.92,30.224,43.946,1.208,3.248,6.341,31.207481093053474,38
Dwyane Wade,20.6944,0.5435,5.1556,4.5278,3.05,0.3938,32.6556,1121,15.9611,18,27.38,34.169,51.758,3.249,3.289,4.453,31.042000197725006,39
George Gervin,26.19,0.5707,2.81,4.55,3.0333,0.342,33.54,791,19.92,10,29.86,,,,,,31.033972007109195,40
Karl Malone,24.6895,0.5738,3.5842,10.0895,3.0579,0.5059,37.0526,1476,17.5053,19,28.96,28.895,42.29,1.912,2.19,3.752,30.629242217568443,41
Bob Cousy,17.2857,0.4576,7.1143,4.9286,2.6348,0.3951,33.3154,924,16.7643,14,20.66,,,,,,30.26063903878057,42
John Havlicek,20.75,0.491,4.8,6.2875,2.5,0.271,36.5,1270,18.825,16,25.4,,,,,,29.71375273176117,43
Charles Barkley,21.5875,0.6031,3.9625,11.7,3.0688,0.5502,36.4125,1073,14.3312,16,26.5,,,,,,29.209770434382182,44
Bob Pettit,26.1818,0.5091,2.9636,16.1091,2.6348,0.479,38.5727,792,21.1909,11,28.8,,,,,,29.19565552045822,45
Anthony Davis,23.5938,0.5832,2.7875,10.6562,2.0438,0.3883,33.8125,858,17.2188,16,26.8,29.98,42.919,1.521,3.129,3.858,28.87320089309971,46
Lenny Wilkens,16.4667,0.5072,6.6133,4.72,2.6348,0.4843,35.54,1077,13.4333,15,20.18,,,,,,28.660912163390428,47
Walt Frazier,17.0923,0.5248,5.5615,5.1846,1.7667,0.3198,34.3615,825,13.9615,13,21.68,,,,,,28.614315973116785,48
Julius Erving,21.8091,0.556,3.8455,6.6273,3.05,0.3443,34.2182,836,16.9909,11,24.28,,,,,,28.573966842852144,49
Alex English,20.7824,0.5436,3.5118,5.7706,2.5625,0.2387,31.6118,1271,17.1235,17,28.24,,,,,,28.46721171663825,50
Kawhi Leonard,20.5571,0.601,3.0857,6.25,1.7143,0.2983,31.3143,791,14.9714,14,26.46,28.63,44.207,3.632,5.187,7.779,28.411419372537203,51
Adrian Dantley,22.7105,0.6001,2.8526,5.6211,2.6778,0.5651,34.6368,1107,14.9474,19,30.42,,,,,,28.183599423350934,52
Dominique Wilkins,24.3412,0.5303,2.4353,6.5059,2.4059,0.3418,34.5824,1148,19.7471,17,29.8,,,,,,28.069325356150276,53
Jimmy Butler,18.3368,0.5921,4.4737,5.3158,1.5579,0.5465,32.6421,1027,12.4579,19,22.38,30.749,45.135,2.062,3.159,6.507,27.812758938725,54
Ray Allen,19.285,0.5804,3.51,4.155,2.15,0.2558,35.965,1376,14.985,20,24.58,26.608,38.812,3.494,1.955,4.498,27.587522398725376,55
Tony Parker,15.3722,0.542,5.5889,2.6611,2.2556,0.2783,30.1278,1254,12.4944,18,19.72,28.286,48.878,1.176,0.442,1.914,27.315913854923647,56
Paul George,19.5562,0.5617,3.6438,6.0062,2.6,0.2677,32.0688,937,15.4188,16,24.62,29.339,43.35,1.952,3.615,7.244,27.230061528304137,57
Bernard King,21.4071,0.5601,3.1357,5.5071,3.0286,0.3687,32.3929,874,16.45,14,27.0,,,,,,27.108089321437454,58
Carmelo Anthony,22.3714,0.5417,2.6619,6.2571,2.3619,0.3289,34.4048,1337,17.9095,21,27.94,28.821,41.846,2.275,1.141,1.746,27.043104185655075,59
Billy Cunningham,20.2333,0.4991,4.1222,9.9111,2.6348,0.4074,34.0333,654,17.1111,9,23.34,,,,,,26.32835691121559,60
Scottie Pippen,15.5235,0.5277,5.1059,6.1588,2.7,0.2772,34.2235,1178,12.9471,17,20.8,18.951,34.898,-0.195,0.58,-2.226,25.81776195904602,61
Shaquille O'Neal,22.0905,0.5883,2.3476,10.3857,2.719,0.5877,33.4714,1268,15.0286,21,29.06,24.937,40.383,1.676,4.498,6.872,25.809727082633444,62
Tracy McGrady,17.0706,0.5042,4.1,5.0412,1.9706,0.3258,30.0,968,14.5118,17,27.64,31.415,47.399,3.008,2.777,4.583,25.662840521670162,63
Paul Pierce,18.9316,0.5654,3.3579,5.4368,2.5368,0.4102,33.1895,1343,14.0105,19,25.82,28.231,41.667,2.714,3.331,6.204,25.616799442733864,64
Hal Greer,18.6467,0.5005,3.9733,4.9667,2.6348,0.291,34.86,1122,16.32,15,23.2,,,,,,25.330121557693047,65
Dirk Nowitzki,20.1095,0.5678,2.3381,7.3476,1.6048,0.3286,33.0048,1522,15.219,21,25.74,26.39,40.13,3.575,4.346,8.764,25.002030401113686,66
Reggie Miller,18.1167,0.6107,2.9444,3.0,1.7167,0.3934,34.25,1389,12.5611,18,22.22,20.636,32.69,2.356,0.552,3.724,24.987356718858436,67
Earl Monroe,17.8933,0.5104,3.6133,2.8,1.4667,0.2894,30.5467,989,15.52,15,23.32,,,,,,24.866922385031064,68
Hakeem Olajuwon,21.0056,0.5454,2.4056,10.8389,2.8944,0.3519,35.15,1238,16.4556,18,26.58,12.106,25.896,-2.03,0.705,0.836,24.59258116808668,69
George Mikan,22.4429,0.4786,2.7571,12.92,2.6348,0.4346,32.9,439,19.4857,7,25.7,,,,,,24.583290990628505,70
Bob McAdoo,20.01,0.5338,2.265,8.535,2.5385,0.3408,31.345,1000,16.045,20,29.96,,,,,,24.24812900134246,71
Paul Arizin,22.79,0.5062,2.33,8.64,2.6348,0.4705,38.5111,713,18.66,10,24.96,,,,,,24.042683497365402,72
