GamesPlayed,Minutes,Pos2,TS_pct,TeamAbbreviation,d_Assists_Per100,d_Assists_PerGame,d_Points_Created_Per100,d_Points_Created_PerGame,d_Points_Per100,d_Points_PerGame,dpm,nba_id,netrtg_on_off,o_dpm,player_name,playoffs,rTSPct,year,_target_name
75,2791,PF,0.625,PHX,6.596,5.04,51.073,39.027,35.456,27.093,4.55,201142,6.589,3.94,Kevin Durant,0,4.5,2024,Kevin Durant
72,2470,PG,0.619,LAC,12.487,8.528,53.305,36.403,24.242,16.556,3.29,201935,6.328,3.33,James Harden,0,3.929,2024,James Harden
74,2421,PG,0.615,GSW,7.465,5.122,55.702,38.216,38.527,26.432,3.07,201939,0.095,4.14,Stephen Curry,0,3.535,2024,Stephen Curry
70,2624,PG,0.617,DAL,12.61,9.8,73.64,57.229,43.566,33.857,4.87,1629029,10.141,5.05,Luka Doncic,0,3.741,2024,Luka Doncic
70,2444,SF,0.603,LAL,11.546,8.214,61.406,43.686,34.337,24.429,2.64,2544,-6.28,3.22,LeBron James,0,2.769,2025,LeBron James
62,2265,PF,0.642,PHX,5.674,4.242,49.018,36.645,35.534,26.565,2.19,201142,4.017,2.88,Kevin Durant,0,6.673,2025,Kevin Durant
79,2789,PG,0.584,LAC,12.114,8.696,59.46,42.684,31.776,22.81,4.52,201935,3.841,3.91,James Harden,0,0.884,2025,James Harden
70,2252,PG,0.617,GSW,8.952,6.014,57.261,38.471,36.53,24.543,4.0,201939,3.459,4.64,Stephen Curry,0,4.168,2025,Stephen Curry
50,1769,PG,0.589,LAL,10.51,7.66,64.078,46.7,38.639,28.16,5.74,1629029,10.948,5.16,Luka Dončić,0,1.387,2025,Luka Doncic
53,1780,SF,0.592,LAL,10.163,6.943,54.432,37.189,30.544,20.868,1.32,2544,-1.29,1.75,LeBron James,0,1.479,2026,LeBron James
70,2557,SF,0.637,HOU,6.209,4.571,49.302,36.3,35.274,25.971,3.08,201142,1.215,2.87,Kevin Durant,0,5.923,2026,Kevin Durant
64,2242,SG,0.617,CLE,11.49,8.109,61.125,43.141,33.961,23.969,2.55,201935,-1.475,3.59,James Harden,0,3.991,2026,James Harden
39,1222,PG,0.64,GSW,7.28,4.846,58.128,38.692,40.871,27.205,2.53,201939,2.73,4.05,Stephen Curry,0,6.227,2026,Stephen Curry
62,2229,SF,0.616,LAL,11.056,8.242,70.814,52.79,45.197,33.694,4.66,1629029,5.028,4.86,Luka Dončić,0,3.871,2026,Luka Doncic
